"a";"b";"c";"d";"e";"f";"g";"h";"i";"j"
0,6688888889;0,6633333333;0,6488888889;0,6555555556;0,6555555556;0,6622222222;0,6644444444;0,6566666667;0,6511111111;0,6322222222
0,6633333333;0,6488888889;0,6555555556;0,6555555556;0,6622222222;0,6644444444;0,6566666667;0,6511111111;0,6322222222;0,6494444444
0,6488888889;0,6555555556;0,6555555556;0,6622222222;0,6644444444;0,6566666667;0,6511111111;0,6322222222;0,6494444444;0,6533333333
0,6555555556;0,6555555556;0,6622222222;0,6644444444;0,6566666667;0,6511111111;0,6322222222;0,6494444444;0,6533333333;0,6488888889
0,6555555556;0,6622222222;0,6644444444;0,6566666667;0,6511111111;0,6322222222;0,6494444444;0,6533333333;0,6488888889;0,6388888889
0,6622222222;0,6644444444;0,6566666667;0,6511111111;0,6322222222;0,6494444444;0,6533333333;0,6488888889;0,6388888889;0,6577777778
0,6644444444;0,6566666667;0,6511111111;0,6322222222;0,6494444444;0,6533333333;0,6488888889;0,6388888889;0,6577777778;0,6533333333
0,6566666667;0,6511111111;0,6322222222;0,6494444444;0,6533333333;0,6488888889;0,6388888889;0,6577777778;0,6533333333;0,6666666667
0,6511111111;0,6322222222;0,6494444444;0,6533333333;0,6488888889;0,6388888889;0,6577777778;0,6533333333;0,6666666667;0,6672222222
0,6322222222;0,6494444444;0,6533333333;0,6488888889;0,6388888889;0,6577777778;0,6533333333;0,6666666667;0,6672222222;0,6666666667
0,6494444444;0,6533333333;0,6488888889;0,6388888889;0,6577777778;0,6533333333;0,6666666667;0,6672222222;0,6666666667;0,6688888889
0,6533333333;0,6488888889;0,6388888889;0,6577777778;0,6533333333;0,6666666667;0,6672222222;0,6666666667;0,6688888889;0,6655555556
0,6488888889;0,6388888889;0,6577777778;0,6533333333;0,6666666667;0,6672222222;0,6666666667;0,6688888889;0,6655555556;0,6666666667
0,6388888889;0,6577777778;0,6533333333;0,6666666667;0,6672222222;0,6666666667;0,6688888889;0,6655555556;0,6666666667;0,6666666667
0,6577777778;0,6533333333;0,6666666667;0,6672222222;0,6666666667;0,6688888889;0,6655555556;0,6666666667;0,6666666667;0,6622222222
0,6533333333;0,6666666667;0,6672222222;0,6666666667;0,6688888889;0,6655555556;0,6666666667;0,6666666667;0,6622222222;0,6633333333
0,6666666667;0,6672222222;0,6666666667;0,6688888889;0,6655555556;0,6666666667;0,6666666667;0,6622222222;0,6633333333;0,6633333333
0,6672222222;0,6666666667;0,6688888889;0,6655555556;0,6666666667;0,6666666667;0,6622222222;0,6633333333;0,6633333333;0,6711111111
0,6666666667;0,6688888889;0,6655555556;0,6666666667;0,6666666667;0,6622222222;0,6633333333;0,6633333333;0,6711111111;0,6622222222
0,6688888889;0,6655555556;0,6666666667;0,6666666667;0,6622222222;0,6633333333;0,6633333333;0,6711111111;0,6622222222;0,6666666667
0,6655555556;0,6666666667;0,6666666667;0,6622222222;0,6633333333;0,6633333333;0,6711111111;0,6622222222;0,6666666667;0,6666666667
0,6666666667;0,6666666667;0,6622222222;0,6633333333;0,6633333333;0,6711111111;0,6622222222;0,6666666667;0,6666666667;0,67
0,6666666667;0,6622222222;0,6633333333;0,6633333333;0,6711111111;0,6622222222;0,6666666667;0,6666666667;0,67;0,6744444444
0,6622222222;0,6633333333;0,6633333333;0,6711111111;0,6622222222;0,6666666667;0,6666666667;0,67;0,6744444444;0,6755555556
0,6633333333;0,6633333333;0,6711111111;0,6622222222;0,6666666667;0,6666666667;0,67;0,6744444444;0,6755555556;0,6788888889
0,6633333333;0,6711111111;0,6622222222;0,6666666667;0,6666666667;0,67;0,6744444444;0,6755555556;0,6788888889;0,6747555556
0,6711111111;0,6622222222;0,6666666667;0,6666666667;0,67;0,6744444444;0,6755555556;0,6788888889;0,6747555556;0,6766666667
0,6622222222;0,6666666667;0,6666666667;0,67;0,6744444444;0,6755555556;0,6788888889;0,6747555556;0,6766666667;0,6711111111
0,6666666667;0,6666666667;0,67;0,6744444444;0,6755555556;0,6788888889;0,6747555556;0,6766666667;0,6711111111;0,6604222222
0,6666666667;0,67;0,6744444444;0,6755555556;0,6788888889;0,6747555556;0,6766666667;0,6711111111;0,6604222222;0,6522222222
0,67;0,6744444444;0,6755555556;0,6788888889;0,6747555556;0,6766666667;0,6711111111;0,6604222222;0,6522222222;0,6633333333
0,6744444444;0,6755555556;0,6788888889;0,6747555556;0,6766666667;0,6711111111;0,6604222222;0,6522222222;0,6633333333;0,6511111111
0,6755555556;0,6788888889;0,6747555556;0,6766666667;0,6711111111;0,6604222222;0,6522222222;0,6633333333;0,6511111111;0,6622222222
0,6788888889;0,6747555556;0,6766666667;0,6711111111;0,6604222222;0,6522222222;0,6633333333;0,6511111111;0,6622222222;0,66
0,6747555556;0,6766666667;0,6711111111;0,6604222222;0,6522222222;0,6633333333;0,6511111111;0,6622222222;0,66;0,6511
0,6766666667;0,6711111111;0,6604222222;0,6522222222;0,6633333333;0,6511111111;0,6622222222;0,66;0,6511;0,6544444444
0,6711111111;0,6604222222;0,6522222222;0,6633333333;0,6511111111;0,6622222222;0,66;0,6511;0,6544444444;0,6533333333
0,6604222222;0,6522222222;0,6633333333;0,6511111111;0,6622222222;0,66;0,6511;0,6544444444;0,6533333333;0,6477777778
0,6522222222;0,6633333333;0,6511111111;0,6622222222;0,66;0,6511;0,6544444444;0,6533333333;0,6477777778;0,6566666667
0,6633333333;0,6511111111;0,6622222222;0,66;0,6511;0,6544444444;0,6533333333;0,6477777778;0,6566666667;0,6533333333
0,6511111111;0,6622222222;0,66;0,6511;0,6544444444;0,6533333333;0,6477777778;0,6566666667;0,6533333333;0,6588777778
0,6622222222;0,66;0,6511;0,6544444444;0,6533333333;0,6477777778;0,6566666667;0,6533333333;0,6588777778;0,6633333333
0,66;0,6511;0,6544444444;0,6533333333;0,6477777778;0,6566666667;0,6533333333;0,6588777778;0,6633333333;0,6622222222
0,6511;0,6544444444;0,6533333333;0,6477777778;0,6566666667;0,6533333333;0,6588777778;0,6633333333;0,6622222222;0,6611111111
0,6544444444;0,6533333333;0,6477777778;0,6566666667;0,6533333333;0,6588777778;0,6633333333;0,6622222222;0,6611111111;0,6533333333
0,6533333333;0,6477777778;0,6566666667;0,6533333333;0,6588777778;0,6633333333;0,6622222222;0,6611111111;0,6533333333;0,6484444444
0,6477777778;0,6566666667;0,6533333333;0,6588777778;0,6633333333;0,6622222222;0,6611111111;0,6533333333;0,6484444444;0,6511111111
0,6566666667;0,6533333333;0,6588777778;0,6633333333;0,6622222222;0,6611111111;0,6533333333;0,6484444444;0,6511111111;0,65
0,6533333333;0,6588777778;0,6633333333;0,6622222222;0,6611111111;0,6533333333;0,6484444444;0,6511111111;0,65;0,6477777778
0,6588777778;0,6633333333;0,6622222222;0,6611111111;0,6533333333;0,6484444444;0,6511111111;0,65;0,6477777778;0,6511111111
0,6633333333;0,6622222222;0,6611111111;0,6533333333;0,6484444444;0,6511111111;0,65;0,6477777778;0,6511111111;0,65
0,6622222222;0,6611111111;0,6533333333;0,6484444444;0,6511111111;0,65;0,6477777778;0,6511111111;0,65;0,6388888889
0,6611111111;0,6533333333;0,6484444444;0,6511111111;0,65;0,6477777778;0,6511111111;0,65;0,6388888889;0,6455555556
0,6533333333;0,6484444444;0,6511111111;0,65;0,6477777778;0,6511111111;0,65;0,6388888889;0,6455555556;0,6455555556
0,6484444444;0,6511111111;0,65;0,6477777778;0,6511111111;0,65;0,6388888889;0,6455555556;0,6455555556;0,6344444444
0,6511111111;0,65;0,6477777778;0,6511111111;0,65;0,6388888889;0,6455555556;0,6455555556;0,6344444444;0,6244444444
0,65;0,6477777778;0,6511111111;0,65;0,6388888889;0,6455555556;0,6455555556;0,6344444444;0,6244444444;0,6422222222
0,6477777778;0,6511111111;0,65;0,6388888889;0,6455555556;0,6455555556;0,6344444444;0,6244444444;0,6422222222;0,6477777778
0,6511111111;0,65;0,6388888889;0,6455555556;0,6455555556;0,6344444444;0,6244444444;0,6422222222;0,6477777778;0,6388888889
0,65;0,6388888889;0,6455555556;0,6455555556;0,6344444444;0,6244444444;0,6422222222;0,6477777778;0,6388888889;0,6511111111
0,6388888889;0,6455555556;0,6455555556;0,6344444444;0,6244444444;0,6422222222;0,6477777778;0,6388888889;0,6511111111;0,6466666667
0,6455555556;0,6455555556;0,6344444444;0,6244444444;0,6422222222;0,6477777778;0,6388888889;0,6511111111;0,6466666667;0,6555555556
0,6455555556;0,6344444444;0,6244444444;0,6422222222;0,6477777778;0,6388888889;0,6511111111;0,6466666667;0,6555555556;0,6477777778
0,6344444444;0,6244444444;0,6422222222;0,6477777778;0,6388888889;0,6511111111;0,6466666667;0,6555555556;0,6477777778;0,6522222222
0,6244444444;0,6422222222;0,6477777778;0,6388888889;0,6511111111;0,6466666667;0,6555555556;0,6477777778;0,6522222222;0,6555555556
0,6422222222;0,6477777778;0,6388888889;0,6511111111;0,6466666667;0,6555555556;0,6477777778;0,6522222222;0,6555555556;0,6562111111
0,6477777778;0,6388888889;0,6511111111;0,6466666667;0,6555555556;0,6477777778;0,6522222222;0,6555555556;0,6562111111;0,6466666667
0,6388888889;0,6511111111;0,6466666667;0,6555555556;0,6477777778;0,6522222222;0,6555555556;0,6562111111;0,6466666667;0,6355555556
0,6511111111;0,6466666667;0,6555555556;0,6477777778;0,6522222222;0,6555555556;0,6562111111;0,6466666667;0,6355555556;0,6295555556
0,6466666667;0,6555555556;0,6477777778;0,6522222222;0,6555555556;0,6562111111;0,6466666667;0,6355555556;0,6295555556;0,6311111111
0,6555555556;0,6477777778;0,6522222222;0,6555555556;0,6562111111;0,6466666667;0,6355555556;0,6295555556;0,6311111111;0,6233333333
0,6477777778;0,6522222222;0,6555555556;0,6562111111;0,6466666667;0,6355555556;0,6295555556;0,6311111111;0,6233333333;0,6155555556
0,6522222222;0,6555555556;0,6562111111;0,6466666667;0,6355555556;0,6295555556;0,6311111111;0,6233333333;0,6155555556;0,6182222222
0,6555555556;0,6562111111;0,6466666667;0,6355555556;0,6295555556;0,6311111111;0,6233333333;0,6155555556;0,6182222222;0,6192222222
0,6562111111;0,6466666667;0,6355555556;0,6295555556;0,6311111111;0,6233333333;0,6155555556;0,6182222222;0,6192222222;0,6208111111
0,6466666667;0,6355555556;0,6295555556;0,6311111111;0,6233333333;0,6155555556;0,6182222222;0,6192222222;0,6208111111;0,6188888889
0,6355555556;0,6295555556;0,6311111111;0,6233333333;0,6155555556;0,6182222222;0,6192222222;0,6208111111;0,6188888889;0,6122222222
0,6295555556;0,6311111111;0,6233333333;0,6155555556;0,6182222222;0,6192222222;0,6208111111;0,6188888889;0,6122222222;0,6066666667
0,6311111111;0,6233333333;0,6155555556;0,6182222222;0,6192222222;0,6208111111;0,6188888889;0,6122222222;0,6066666667;0,6066666667
0,6233333333;0,6155555556;0,6182222222;0,6192222222;0,6208111111;0,6188888889;0,6122222222;0,6066666667;0,6066666667;0,6011111111
0,6155555556;0,6182222222;0,6192222222;0,6208111111;0,6188888889;0,6122222222;0,6066666667;0,6066666667;0,6011111111;0,6066666667
0,6182222222;0,6192222222;0,6208111111;0,6188888889;0,6122222222;0,6066666667;0,6066666667;0,6011111111;0,6066666667;0,6088888889
0,6192222222;0,6208111111;0,6188888889;0,6122222222;0,6066666667;0,6066666667;0,6011111111;0,6066666667;0,6088888889;0,6091111111
0,6208111111;0,6188888889;0,6122222222;0,6066666667;0,6066666667;0,6011111111;0,6066666667;0,6088888889;0,6091111111;0,6
0,6188888889;0,6122222222;0,6066666667;0,6066666667;0,6011111111;0,6066666667;0,6088888889;0,6091111111;0,6;0,6
0,6122222222;0,6066666667;0,6066666667;0,6011111111;0,6066666667;0,6088888889;0,6091111111;0,6;0,6;0,6096
0,6066666667;0,6066666667;0,6011111111;0,6066666667;0,6088888889;0,6091111111;0,6;0,6;0,6096;0,6144444444
0,6066666667;0,6011111111;0,6066666667;0,6088888889;0,6091111111;0,6;0,6;0,6096;0,6144444444;0,6088888889
0,6011111111;0,6066666667;0,6088888889;0,6091111111;0,6;0,6;0,6096;0,6144444444;0,6088888889;0,6221111111
0,6066666667;0,6088888889;0,6091111111;0,6;0,6;0,6096;0,6144444444;0,6088888889;0,6221111111;0,62
0,6088888889;0,6091111111;0,6;0,6;0,6096;0,6144444444;0,6088888889;0,6221111111;0,62;0,6111111111
0,6091111111;0,6;0,6;0,6096;0,6144444444;0,6088888889;0,6221111111;0,62;0,6111111111;0,6077777778
0,6;0,6;0,6096;0,6144444444;0,6088888889;0,6221111111;0,62;0,6111111111;0,6077777778;0,6044444444
0,6;0,6096;0,6144444444;0,6088888889;0,6221111111;0,62;0,6111111111;0,6077777778;0,6044444444;0,6156111111
0,6096;0,6144444444;0,6088888889;0,6221111111;0,62;0,6111111111;0,6077777778;0,6044444444;0,6156111111;0,6233333333
0,6144444444;0,6088888889;0,6221111111;0,62;0,6111111111;0,6077777778;0,6044444444;0,6156111111;0,6233333333;0,6255555556
0,6088888889;0,6221111111;0,62;0,6111111111;0,6077777778;0,6044444444;0,6156111111;0,6233333333;0,6255555556;0,6266666667
0,6221111111;0,62;0,6111111111;0,6077777778;0,6044444444;0,6156111111;0,6233333333;0,6255555556;0,6266666667;0,6211
0,62;0,6111111111;0,6077777778;0,6044444444;0,6156111111;0,6233333333;0,6255555556;0,6266666667;0,6211;0,6111111111
0,6111111111;0,6077777778;0,6044444444;0,6156111111;0,6233333333;0,6255555556;0,6266666667;0,6211;0,6111111111;0,6122222222
0,6077777778;0,6044444444;0,6156111111;0,6233333333;0,6255555556;0,6266666667;0,6211;0,6111111111;0,6122222222;0,6144444444
0,6044444444;0,6156111111;0,6233333333;0,6255555556;0,6266666667;0,6211;0,6111111111;0,6122222222;0,6144444444;0,62
0,6156111111;0,6233333333;0,6255555556;0,6266666667;0,6211;0,6111111111;0,6122222222;0,6144444444;0,62;0,6155555556
0,6233333333;0,6255555556;0,6266666667;0,6211;0,6111111111;0,6122222222;0,6144444444;0,62;0,6155555556;0,62
0,6255555556;0,6266666667;0,6211;0,6111111111;0,6122222222;0,6144444444;0,62;0,6155555556;0,62;0,6266666667
0,6266666667;0,6211;0,6111111111;0,6122222222;0,6144444444;0,62;0,6155555556;0,62;0,6266666667;0,6277777778
0,6211;0,6111111111;0,6122222222;0,6144444444;0,62;0,6155555556;0,62;0,6266666667;0,6277777778;0,62
0,6111111111;0,6122222222;0,6144444444;0,62;0,6155555556;0,62;0,6266666667;0,6277777778;0,62;0,6211111111
0,6122222222;0,6144444444;0,62;0,6155555556;0,62;0,6266666667;0,6277777778;0,62;0,6211111111;0,6211111111
0,6144444444;0,62;0,6155555556;0,62;0,6266666667;0,6277777778;0,62;0,6211111111;0,6211111111;0,6266666667
0,62;0,6155555556;0,62;0,6266666667;0,6277777778;0,62;0,6211111111;0,6211111111;0,6266666667;0,6277777778
0,6155555556;0,62;0,6266666667;0,6277777778;0,62;0,6211111111;0,6211111111;0,6266666667;0,6277777778;0,6166666667
0,62;0,6266666667;0,6277777778;0,62;0,6211111111;0,6211111111;0,6266666667;0,6277777778;0,6166666667;0,6266666667
0,6266666667;0,6277777778;0,62;0,6211111111;0,6211111111;0,6266666667;0,6277777778;0,6166666667;0,6266666667;0,6288888889
0,6277777778;0,62;0,6211111111;0,6211111111;0,6266666667;0,6277777778;0,6166666667;0,6266666667;0,6288888889;0,6266666667
0,62;0,6211111111;0,6211111111;0,6266666667;0,6277777778;0,6166666667;0,6266666667;0,6288888889;0,6266666667;0,62
0,6211111111;0,6211111111;0,6266666667;0,6277777778;0,6166666667;0,6266666667;0,6288888889;0,6266666667;0,62;0,63
0,6211111111;0,6266666667;0,6277777778;0,6166666667;0,6266666667;0,6288888889;0,6266666667;0,62;0,63;0,6433333333
0,6266666667;0,6277777778;0,6166666667;0,6266666667;0,6288888889;0,6266666667;0,62;0,63;0,6433333333;0,6433222222
0,6277777778;0,6166666667;0,6266666667;0,6288888889;0,6266666667;0,62;0,63;0,6433333333;0,6433222222;0,6397777778
0,6166666667;0,6266666667;0,6288888889;0,6266666667;0,62;0,63;0,6433333333;0,6433222222;0,6397777778;0,6355555556
0,6266666667;0,6288888889;0,6266666667;0,62;0,63;0,6433333333;0,6433222222;0,6397777778;0,6355555556;0,6388888889
0,6288888889;0,6266666667;0,62;0,63;0,6433333333;0,6433222222;0,6397777778;0,6355555556;0,6388888889;0,6412888889
0,6266666667;0,62;0,63;0,6433333333;0,6433222222;0,6397777778;0,6355555556;0,6388888889;0,6412888889;0,6333333333
0,62;0,63;0,6433333333;0,6433222222;0,6397777778;0,6355555556;0,6388888889;0,6412888889;0,6333333333;0,6277777778
0,63;0,6433333333;0,6433222222;0,6397777778;0,6355555556;0,6388888889;0,6412888889;0,6333333333;0,6277777778;0,6255555556
0,6433333333;0,6433222222;0,6397777778;0,6355555556;0,6388888889;0,6412888889;0,6333333333;0,6277777778;0,6255555556;0,6222222222
0,6433222222;0,6397777778;0,6355555556;0,6388888889;0,6412888889;0,6333333333;0,6277777778;0,6255555556;0,6222222222;0,6333333333
0,6397777778;0,6355555556;0,6388888889;0,6412888889;0,6333333333;0,6277777778;0,6255555556;0,6222222222;0,6333333333;0,6266666667
0,6355555556;0,6388888889;0,6412888889;0,6333333333;0,6277777778;0,6255555556;0,6222222222;0,6333333333;0,6266666667;0,6277777778
0,6388888889;0,6412888889;0,6333333333;0,6277777778;0,6255555556;0,6222222222;0,6333333333;0,6266666667;0,6277777778;0,6155555556
0,6412888889;0,6333333333;0,6277777778;0,6255555556;0,6222222222;0,6333333333;0,6266666667;0,6277777778;0,6155555556;0,61
0,6333333333;0,6277777778;0,6255555556;0,6222222222;0,6333333333;0,6266666667;0,6277777778;0,6155555556;0,61;0,6133333333
0,6277777778;0,6255555556;0,6222222222;0,6333333333;0,6266666667;0,6277777778;0,6155555556;0,61;0,6133333333;0,6144444444
0,6255555556;0,6222222222;0,6333333333;0,6266666667;0,6277777778;0,6155555556;0,61;0,6133333333;0,6144444444;0,6133333333
0,6222222222;0,6333333333;0,6266666667;0,6277777778;0,6155555556;0,61;0,6133333333;0,6144444444;0,6133333333;0,6055555556
0,6333333333;0,6266666667;0,6277777778;0,6155555556;0,61;0,6133333333;0,6144444444;0,6133333333;0,6055555556;0,6088888889
0,6266666667;0,6277777778;0,6155555556;0,61;0,6133333333;0,6144444444;0,6133333333;0,6055555556;0,6088888889;0,6044444444
0,6277777778;0,6155555556;0,61;0,6133333333;0,6144444444;0,6133333333;0,6055555556;0,6088888889;0,6044444444;0,5988888889
0,6155555556;0,61;0,6133333333;0,6144444444;0,6133333333;0,6055555556;0,6088888889;0,6044444444;0,5988888889;0,5933333333
0,61;0,6133333333;0,6144444444;0,6133333333;0,6055555556;0,6088888889;0,6044444444;0,5988888889;0,5933333333;0,5955555556
0,6133333333;0,6144444444;0,6133333333;0,6055555556;0,6088888889;0,6044444444;0,5988888889;0,5933333333;0,5955555556;0,6055555556
0,6144444444;0,6133333333;0,6055555556;0,6088888889;0,6044444444;0,5988888889;0,5933333333;0,5955555556;0,6055555556;0,5933333333
0,6133333333;0,6055555556;0,6088888889;0,6044444444;0,5988888889;0,5933333333;0,5955555556;0,6055555556;0,5933333333;0,5844444444
0,6055555556;0,6088888889;0,6044444444;0,5988888889;0,5933333333;0,5955555556;0,6055555556;0,5933333333;0,5844444444;0,5733333333
0,6088888889;0,6044444444;0,5988888889;0,5933333333;0,5955555556;0,6055555556;0,5933333333;0,5844444444;0,5733333333;0,5777777778
0,6044444444;0,5988888889;0,5933333333;0,5955555556;0,6055555556;0,5933333333;0,5844444444;0,5733333333;0,5777777778;0,5762
0,5988888889;0,5933333333;0,5955555556;0,6055555556;0,5933333333;0,5844444444;0,5733333333;0,5777777778;0,5762;0,5755555556
0,5933333333;0,5955555556;0,6055555556;0,5933333333;0,5844444444;0,5733333333;0,5777777778;0,5762;0,5755555556;0,5822222222
0,5955555556;0,6055555556;0,5933333333;0,5844444444;0,5733333333;0,5777777778;0,5762;0,5755555556;0,5822222222;0,57
0,6055555556;0,5933333333;0,5844444444;0,5733333333;0,5777777778;0,5762;0,5755555556;0,5822222222;0,57;0,57
0,5933333333;0,5844444444;0,5733333333;0,5777777778;0,5762;0,5755555556;0,5822222222;0,57;0,57;0,56
0,5844444444;0,5733333333;0,5777777778;0,5762;0,5755555556;0,5822222222;0,57;0,57;0,56;0,5533333333
0,5733333333;0,5777777778;0,5762;0,5755555556;0,5822222222;0,57;0,57;0,56;0,5533333333;0,5522333333
0,5777777778;0,5762;0,5755555556;0,5822222222;0,57;0,57;0,56;0,5533333333;0,5522333333;0,5511111111
0,5762;0,5755555556;0,5822222222;0,57;0,57;0,56;0,5533333333;0,5522333333;0,5511111111;0,5560666667
0,5755555556;0,5822222222;0,57;0,57;0,56;0,5533333333;0,5522333333;0,5511111111;0,5560666667;0,5622222222
0,5822222222;0,57;0,57;0,56;0,5533333333;0,5522333333;0,5511111111;0,5560666667;0,5622222222;0,5566666667
0,57;0,57;0,56;0,5533333333;0,5522333333;0,5511111111;0,5560666667;0,5622222222;0,5566666667;0,5555555556
0,57;0,56;0,5533333333;0,5522333333;0,5511111111;0,5560666667;0,5622222222;0,5566666667;0,5555555556;0,5433333333
0,56;0,5533333333;0,5522333333;0,5511111111;0,5560666667;0,5622222222;0,5566666667;0,5555555556;0,5433333333;0,5455555556
0,5533333333;0,5522333333;0,5511111111;0,5560666667;0,5622222222;0,5566666667;0,5555555556;0,5433333333;0,5455555556;0,5577777778
0,5522333333;0,5511111111;0,5560666667;0,5622222222;0,5566666667;0,5555555556;0,5433333333;0,5455555556;0,5577777778;0,56
0,5511111111;0,5560666667;0,5622222222;0,5566666667;0,5555555556;0,5433333333;0,5455555556;0,5577777778;0,56;0,5788888889
0,5560666667;0,5622222222;0,5566666667;0,5555555556;0,5433333333;0,5455555556;0,5577777778;0,56;0,5788888889;0,5744444444
0,5622222222;0,5566666667;0,5555555556;0,5433333333;0,5455555556;0,5577777778;0,56;0,5788888889;0,5744444444;0,5722222222
0,5566666667;0,5555555556;0,5433333333;0,5455555556;0,5577777778;0,56;0,5788888889;0,5744444444;0,5722222222;0,5755555556
0,5555555556;0,5433333333;0,5455555556;0,5577777778;0,56;0,5788888889;0,5744444444;0,5722222222;0,5755555556;0,5722222222
0,5433333333;0,5455555556;0,5577777778;0,56;0,5788888889;0,5744444444;0,5722222222;0,5755555556;0,5722222222;0,5777777778
0,5455555556;0,5577777778;0,56;0,5788888889;0,5744444444;0,5722222222;0,5755555556;0,5722222222;0,5777777778;0,5733333333
0,5577777778;0,56;0,5788888889;0,5744444444;0,5722222222;0,5755555556;0,5722222222;0,5777777778;0,5733333333;0,5755555556
0,56;0,5788888889;0,5744444444;0,5722222222;0,5755555556;0,5722222222;0,5777777778;0,5733333333;0,5755555556;0,5811111111
0,5788888889;0,5744444444;0,5722222222;0,5755555556;0,5722222222;0,5777777778;0,5733333333;0,5755555556;0,5811111111;0,5866666667
0,5744444444;0,5722222222;0,5755555556;0,5722222222;0,5777777778;0,5733333333;0,5755555556;0,5811111111;0,5866666667;0,5744444444
0,5722222222;0,5755555556;0,5722222222;0,5777777778;0,5733333333;0,5755555556;0,5811111111;0,5866666667;0,5744444444;0,5722222222
0,5755555556;0,5722222222;0,5777777778;0,5733333333;0,5755555556;0,5811111111;0,5866666667;0,5744444444;0,5722222222;0,5655555556
0,5722222222;0,5777777778;0,5733333333;0,5755555556;0,5811111111;0,5866666667;0,5744444444;0,5722222222;0,5655555556;0,5666666667
0,5777777778;0,5733333333;0,5755555556;0,5811111111;0,5866666667;0,5744444444;0,5722222222;0,5655555556;0,5666666667;0,5602666667
0,5733333333;0,5755555556;0,5811111111;0,5866666667;0,5744444444;0,5722222222;0,5655555556;0,5666666667;0,5602666667;0,5677777778
0,5755555556;0,5811111111;0,5866666667;0,5744444444;0,5722222222;0,5655555556;0,5666666667;0,5602666667;0,5677777778;0,5655555556
0,5811111111;0,5866666667;0,5744444444;0,5722222222;0,5655555556;0,5666666667;0,5602666667;0,5677777778;0,5655555556;0,5611111111
0,5866666667;0,5744444444;0,5722222222;0,5655555556;0,5666666667;0,5602666667;0,5677777778;0,5655555556;0,5611111111;0,5522222222
0,5744444444;0,5722222222;0,5655555556;0,5666666667;0,5602666667;0,5677777778;0,5655555556;0,5611111111;0,5522222222;0,5588888889
0,5722222222;0,5655555556;0,5666666667;0,5602666667;0,5677777778;0,5655555556;0,5611111111;0,5522222222;0,5588888889;0,5655555556
0,5655555556;0,5666666667;0,5602666667;0,5677777778;0,5655555556;0,5611111111;0,5522222222;0,5588888889;0,5655555556;0,5722222222
0,5666666667;0,5602666667;0,5677777778;0,5655555556;0,5611111111;0,5522222222;0,5588888889;0,5655555556;0,5722222222;0,5833333333
0,5602666667;0,5677777778;0,5655555556;0,5611111111;0,5522222222;0,5588888889;0,5655555556;0,5722222222;0,5833333333;0,5666666667
0,5677777778;0,5655555556;0,5611111111;0,5522222222;0,5588888889;0,5655555556;0,5722222222;0,5833333333;0,5666666667;0,5577777778
0,5655555556;0,5611111111;0,5522222222;0,5588888889;0,5655555556;0,5722222222;0,5833333333;0,5666666667;0,5577777778;0,5655555556
0,5611111111;0,5522222222;0,5588888889;0,5655555556;0,5722222222;0,5833333333;0,5666666667;0,5577777778;0,5655555556;0,5666666667
0,5522222222;0,5588888889;0,5655555556;0,5722222222;0,5833333333;0,5666666667;0,5577777778;0,5655555556;0,5666666667;0,5444444444
0,5588888889;0,5655555556;0,5722222222;0,5833333333;0,5666666667;0,5577777778;0,5655555556;0,5666666667;0,5444444444;0,55
0,5655555556;0,5722222222;0,5833333333;0,5666666667;0,5577777778;0,5655555556;0,5666666667;0,5444444444;0,55;0,5522222222
0,5722222222;0,5833333333;0,5666666667;0,5577777778;0,5655555556;0,5666666667;0,5444444444;0,55;0,5522222222;0,5566666667
0,5833333333;0,5666666667;0,5577777778;0,5655555556;0,5666666667;0,5444444444;0,55;0,5522222222;0,5566666667;0,5588888889
0,5666666667;0,5577777778;0,5655555556;0,5666666667;0,5444444444;0,55;0,5522222222;0,5566666667;0,5588888889;0,556
0,5577777778;0,5655555556;0,5666666667;0,5444444444;0,55;0,5522222222;0,5566666667;0,5588888889;0,556;0,5566666667
0,5655555556;0,5666666667;0,5444444444;0,55;0,5522222222;0,5566666667;0,5588888889;0,556;0,5566666667;0,5522222222
0,5666666667;0,5444444444;0,55;0,5522222222;0,5566666667;0,5588888889;0,556;0,5566666667;0,5522222222;0,5444444444
0,5444444444;0,55;0,5522222222;0,5566666667;0,5588888889;0,556;0,5566666667;0,5522222222;0,5444444444;0,5466666667
0,55;0,5522222222;0,5566666667;0,5588888889;0,556;0,5566666667;0,5522222222;0,5444444444;0,5466666667;0,5488888889
0,5522222222;0,5566666667;0,5588888889;0,556;0,5566666667;0,5522222222;0,5444444444;0,5466666667;0,5488888889;0,5333333333
0,5566666667;0,5588888889;0,556;0,5566666667;0,5522222222;0,5444444444;0,5466666667;0,5488888889;0,5333333333;0,5433333333
0,5588888889;0,556;0,5566666667;0,5522222222;0,5444444444;0,5466666667;0,5488888889;0,5333333333;0,5433333333;0,5477777778
0,556;0,5566666667;0,5522222222;0,5444444444;0,5466666667;0,5488888889;0,5333333333;0,5433333333;0,5477777778;0,5477777778
0,5566666667;0,5522222222;0,5444444444;0,5466666667;0,5488888889;0,5333333333;0,5433333333;0,5477777778;0,5477777778;0,5488888889
0,5522222222;0,5444444444;0,5466666667;0,5488888889;0,5333333333;0,5433333333;0,5477777778;0,5477777778;0,5488888889;0,555
0,5444444444;0,5466666667;0,5488888889;0,5333333333;0,5433333333;0,5477777778;0,5477777778;0,5488888889;0,555;0,5644444444
